"bat1","bat2","dyad","kinship","site1","site2","season1","season2"
"bat3","daredevil","bat3_daredevil",0,"zoo","tole","phd","postdoc"
"bat3","dcd","bat3_dcd",0,"zoo","tole","phd","postdoc"
"bat3","dd","bat3_dd",0,"zoo","tole","phd","postdoc"
"bat3","ddd","bat3_ddd",0,"zoo","las.pavas","phd","postdoc"
"bat3","ddld","bat3_ddld",0,"zoo","tole","phd","postdoc"
"bat3","desi","bat3_desi",0.1499,"zoo","zoo","phd","phd"
"bat3","dos","bat3_dos",0,"zoo","las.pavas","phd","postdoc"
"bat3","dr","bat3_dr",0,"zoo","tole","phd","postdoc"
"bat3","dr-strange","bat3_dr-strange",0,"zoo","tole","phd","postdoc"
"bat3","ds","bat3_ds",0,"zoo","tole","phd","postdoc"
"bat3","esther","bat3_esther",0,"zoo","tole","phd","lab"
"bat3","eve","bat3_eve",0,"zoo","las.pavas","phd","postdoc"
"bat3","falcon","bat3_falcon",0,"zoo","tole","phd","postdoc"
"bat3","flapper","bat3_flapper",0.1016,"zoo","zoo","phd","phd"
